folio,en_2010,en_eval_2010,en_2012,en_eval_2012,en_2017,en_eval_2017,en_2024,en_eval_2024,n_rondas,patron_participacion,muestra_origen,sexo,sexo_consistente,muestra_2012,fexp_encP_2012,fexp_testP_2012,espanel_2017,fexp_hogP_2017,fexp_encP_2017,fexp_evaP_2017,fexp_encP_1217_2017,fexp_evaP_1217_2017,fexp_encP_1017_2017,fexp_evaP_1017_2017,f_exp_1024,f_exp_101224,f_exp_101724,f_exp_10121724
100211,1,0,1,1,1,1,1,1,4,1111,original_2010,1.0,1,1.0,55.88779830932617,,1.0,80.40089416503906,80.40089416503906,,80.40089416503906,65.67485046386719,77.58199310302734,,74.75072036670103,90.8940480189769,79.43458176032911,93.23320193470695
100221,1,1,1,1,1,1,1,1,4,1111,original_2010,2.0,1,1.0,54.02661895751953,65.98860931396484,1.0,40.20044708251953,80.40089416503906,98.05950164794922,80.40089416503906,89.54589080810547,75.21158599853516,90.9689712524414,74.42735460480586,92.90100424060773,81.71232457029,99.34553184101304
100231,1,1,1,1,0,0,1,1,3,1101,original_2010,1.0,1,1.0,54.381004333496094,65.98860931396484,,,,,,,,,72.81039577404107,,81.57733669372982,
100261,1,1,1,1,0,0,1,1,3,1101,original_2010,2.0,1,1.0,54.381004333496094,65.98860931396484,,,,,,,,,72.61030195171666,,81.83303371648411,
100271,1,1,1,1,1,1,1,1,4,1111,original_2010,1.0,1,1.0,62.3760871887207,76.5256576538086,1.0,95.0272216796875,95.0272216796875,120.68601989746094,95.0272216796875,110.20795440673828,84.6944808959961,97.23735809326172,88.2488728918923,120.13249347831166,101.42246974678093,121.97515135710596
100291,1,0,1,1,1,1,1,1,4,1111,original_2010,2.0,1,1.0,56.4496955871582,,1.0,40.20044708251953,80.40089416503906,,80.40089416503906,66.33514404296875,75.21158599853516,,72.61030195171666,86.58181530853736,80.31468653035557,89.3569381823894
100301,1,1,1,1,0,0,1,1,3,1101,original_2010,1.0,1,1.0,53.35859298706055,64.30780029296875,,,,,,,,,85.32922836266077,,88.48121946149631,
100331,1,1,0,0,0,0,0,0,1,1000,original_2010,2.0,1,,,,,,,,,,,,,,,
100361,1,1,1,1,1,1,1,1,4,1111,original_2010,1.0,1,1.0,54.381004333496094,65.98860931396484,1.0,74.88894653320312,74.88894653320312,98.05950164794922,74.88894653320312,89.54589080810547,74.43412017822266,87.38935852050781,90.14357999966278,108.00174848120466,103.3720979702555,114.97295688392612
100371,1,1,0,0,0,0,1,1,2,1001,original_2010,1.0,1,,,,,,,,,,,,104.94835436617726,,,
100391,1,0,1,1,1,1,1,1,4,1111,original_2010,1.0,1,1.0,62.3760871887207,,1.0,92.27954864501953,92.27954864501953,,92.27954864501953,73.29936981201172,81.1572036743164,,81.80139097763066,102.77973291821363,94.58164806398887,107.20246622198275
100401,1,1,1,1,1,1,1,1,4,1111,original_2010,2.0,1,1.0,56.4496955871582,71.59033966064453,1.0,80.40089416503906,80.40089416503906,103.0165023803711,80.40089416503906,94.07251739501953,75.21158599853516,90.9689712524414,77.7627699708002,92.14066327504601,94.65553696024466,100.11734129020445
100411,1,1,1,1,1,1,1,1,4,1111,original_2010,2.0,1,1.0,53.35859298706055,63.31688690185547,1.0,79.90498352050781,79.90498352050781,98.05950164794922,79.90498352050781,89.54589080810547,74.43412017822266,87.38935852050781,66.84938676762476,82.57728669634125,74.45160211387265,86.48010697615416
100431,1,1,1,0,0,0,1,1,3,1101,original_2010,1.0,1,1.0,62.3760871887207,,,,,,,,,,106.92250702568019,,128.62729816255126,
100461,1,1,1,1,1,1,1,1,4,1111,original_2010,1.0,1,1.0,54.02661895751953,69.73853302001953,1.0,80.40089416503906,80.40089416503906,103.0165023803711,80.40089416503906,94.07251739501953,77.58199310302734,92.42459106445312,81.48561052503761,102.25751751215037,88.57313051799623,106.92914219195056
100471,1,1,1,0,1,1,1,1,4,1111,original_2010,1.0,1,1.0,62.3760871887207,,1.0,95.0272216796875,95.0272216796875,,95.0272216796875,,84.6944808959961,100.99375915527344,84.55211297432609,101.42059889930346,94.43929674689055,107.9353463363478
